time_s,alt_m,ax_ms2,ay_ms2,az_ms2
15.052,168.57,-1.094,-1.072,8.916
15.072,168.57,-1.218,-1.184,9.038
15.096,168.57,-0.816,-0.802,8.794
15.244,168.61,-1.0,-0.495,9.59
15.264,168.49,-1.574,-0.859,9.959
15.288,168.42,-1.711,-0.876,10.538
15.308,168.34,-1.429,-0.421,10.658
15.332,168.28,-0.526,0.316,10.361
15.357,168.28,-0.502,0.218,10.347
15.377,168.3,-0.96,-0.493,10.746
15.401,168.25,-1.271,-0.971,10.421
15.421,168.22,-0.859,-0.778,10.035
15.445,168.22,-0.359,-0.455,10.141
15.593,168.24,0.124,0.627,9.002
15.613,168.23,0.026,0.447,8.978
15.637,168.24,-0.409,0.036,8.609
15.657,168.17,-0.519,-0.512,9.165
15.681,168.2,-1.378,-0.706,10.579
15.706,168.2,-1.962,-0.625,12.067
15.726,168.17,-1.85,-0.469,11.777
15.75,168.13,-1.12,-0.299,9.545
15.77,168.17,-0.931,-0.766,9.495
15.794,168.17,-1.304,-1.115,10.763
15.942,168.09,-0.558,-0.562,9.334
15.962,168.03,-0.715,-0.828,9.581
15.986,167.96,-0.696,-1.204,9.344
16.006,168.04,-0.474,-1.278,8.999
16.03,168.04,-0.426,-1.163,9.098
16.05,167.99,-0.457,-1.105,9.318
16.074,167.98,-0.61,-1.06,9.574
16.094,168.0,-0.603,-0.768,9.552
16.118,168.0,-0.371,-0.127,9.303
16.143,168.0,-0.634,0.06,9.444
16.291,168.02,-0.816,-0.349,9.684
16.311,167.97,-1.235,-0.361,9.966
16.335,167.91,-0.816,-0.12,9.777
16.355,167.92,-0.325,0.069,9.748
16.379,167.91,-0.299,-0.23,9.949
16.404,167.91,-0.61,-0.742,9.957
16.424,167.86,-0.67,-0.665,10.323
16.448,167.89,-0.304,-0.373,9.985
16.468,167.84,0.165,-0.144,8.803
16.492,167.83,0.586,-0.211,7.564
16.646,167.83,-1.457,-1.328,10.598
16.666,167.77,-1.366,-1.393,10.617
16.69,167.73,-0.742,-1.45,9.901
16.71,167.64,-0.404,-1.141,10.007
16.734,167.63,-0.431,-0.615,10.648
16.759,167.63,-1.101,-0.782,13.613
16.779,167.56,-1.735,-1.144,14.666
16.803,167.57,-1.991,-1.156,12.967
16.823,167.56,-0.998,-1.115,9.935
16.847,167.54,0.096,-1.094,6.867
17.001,167.54,-0.239,-1.036,8.868
17.021,167.56,0.06,-0.522,9.399
17.045,167.52,0.172,-0.151,8.973
17.065,167.58,-0.024,-0.78,9.031
17.089,167.54,-0.321,-1.17,9.308
17.114,167.54,-0.73,-1.247,10.39
17.134,167.54,-0.845,-1.216,11.457
17.158,167.49,-0.845,-1.144,11.337
17.178,167.48,-0.802,-0.823,11.282
17.202,167.47,-0.873,-0.794,12.397
17.356,167.47,0.093,-0.615,8.705
17.376,167.44,-0.079,-0.629,8.657
17.4,167.45,-0.11,-0.67,9.169
17.42,167.47,-0.261,-0.543,9.363
17.444,167.4,-0.352,-0.524,9.33
17.469,167.4,-0.725,-0.854,9.806
17.489,167.38,-0.967,-0.895,10.464
17.513,167.44,-0.529,-1.019,9.954
17.533,167.49,-0.359,-1.304,9.763
17.557,167.49,-0.476,-1.574,9.89
17.711,167.49,0.144,-1.278,9.198
17.731,167.4,0.409,-1.28,8.566
17.755,167.3,0.342,-1.345,8.14
17.775,167.21,0.347,-1.433,7.585
17.799,167.16,0.519,-1.536,7.243
17.824,167.16,0.412,-1.359,7.262
17.844,167.16,0.55,-1.283,7.482
17.868,167.13,0.352,-1.11,8.815
17.888,167.15,-0.002,-1.405,9.523
17.912,167.15,-0.553,-1.572,10.928
18.066,167.15,-0.665,-0.976,12.081
18.086,167.1,-0.12,-1.149,10.557
18.11,167.06,0.141,-1.115,9.54
18.13,167.02,0.139,-1.472,9.6
18.154,167.02,0.151,-0.962,10.129
18.174,166.93,0.261,-0.845,9.492
18.198,166.96,0.218,-1.005,8.672
18.218,166.88,0.062,-1.302,8.03
18.242,166.91,-0.536,-1.854,8.92
18.267,166.91,-1.043,-1.362,10.354
18.415,166.87,-1.153,-2.192,9.856
18.435,166.85,-0.849,-2.036,9.765
18.459,166.85,-0.948,-2.015,11.361
18.479,166.73,-1.51,-1.845,13.144
18.503,166.73,-1.677,-1.321,12.677
18.523,166.8,-1.235,-0.995,11.218
18.547,166.78,-0.61,-0.864,9.758
18.567,166.77,-0.177,-0.909,8.901
18.591,166.86,-0.187,-0.766,8.164
18.616,166.86,0.0,-1.23,7.518
18.764,166.88,0.065,-1.381,10.27
18.784,166.94,-0.524,-1.096,12.029
18.808,166.9,-0.359,-0.723,12.988
18.828,166.87,-0.136,-0.158,12.165
18.852,166.8,0.129,0.06,11.947
18.877,166.8,-1.165,-0.979,14.271
18.897,166.87,-1.962,-1.369,14.697
18.921,166.91,-3.108,-0.766,13.424
18.941,166.9,-2.266,0.014,11.349
18.965,166.9,-1.608,0.254,9.961
19.113,166.88,0.215,-0.591,6.097
19.133,166.86,-0.234,-1.251,6.449
19.157,166.87,-0.129,-1.048,7.152
19.177,166.9,0.428,-0.67,7.47
19.201,166.87,0.754,-0.622,8.114
19.226,166.87,0.388,-0.725,9.88
19.246,166.84,0.007,-0.878,10.844
19.27,166.85,-0.189,-1.089,11.349
19.29,166.88,0.01,-0.881,11.514
19.314,166.88,0.67,-0.318,10.885
19.462,166.85,0.603,-0.701,10.191
19.482,166.83,-0.275,-1.06,11.94
19.506,166.84,-1.503,-1.362,13.73
19.526,166.76,-2.431,-1.718,13.436
19.55,166.69,-2.168,-1.503,10.21
19.575,166.69,-0.893,-0.998,8.798
19.595,166.74,-0.723,-0.699,8.834
19.619,166.79,-0.845,-0.505,9.246
19.639,166.85,-0.936,-0.517,9.334
19.663,166.85,-1.053,-0.648,9.133
20.067,166.89,0.613,0.945,10.725
20.087,166.84,-0.141,0.742,12.12
20.111,166.75,-1.292,0.34,12.979
20.131,166.73,-2.012,0.036,12.424
20.155,166.76,-1.926,-0.048,10.421
20.18,166.76,-1.378,0.292,9.552
20.2,166.8,-0.627,0.72,9.435
20.224,166.84,-0.294,0.914,9.255
20.244,166.87,-0.268,0.802,8.952
20.268,166.87,-0.225,0.297,7.731
20.421,166.87,0.483,-1.802,8.404
20.441,166.8,0.065,-2.134,9.538
20.461,166.77,0.079,-2.185,10.734
20.485,166.76,0.184,-1.816,12.141
20.51,166.76,0.091,-1.677,12.053
20.53,166.74,-0.12,-1.759,12.235
20.554,166.68,-0.646,-1.998,13.742
20.574,166.69,-0.287,-1.357,13.409
20.598,166.69,0.385,-1.314,11.438
20.618,166.72,0.474,-0.986,10.466
20.771,166.72,-0.153,0.012,8.741
20.791,166.74,-0.409,-0.089,8.727
20.815,166.77,-0.529,-0.4,8.363
20.835,166.85,-0.61,-0.742,7.865
20.859,166.85,-0.45,-0.84,7.073
20.879,166.86,-0.007,-0.641,6.686
20.903,166.92,0.467,-0.223,6.707
20.923,166.97,0.9,-0.112,6.573
20.947,166.97,1.11,-0.175,6.776
20.967,167.0,1.201,-0.285,7.781
21.12,166.97,-0.45,-0.416,13.584
21.14,166.89,-0.526,0.146,13.364
21.164,166.85,0.225,0.199,11.34
21.184,166.73,0.663,0.608,10.39
21.208,166.73,0.699,0.699,11.409
21.228,166.76,-0.62,0.048,12.835
21.252,166.77,-1.764,-0.479,13.204
21.272,166.8,-2.127,-0.629,11.928
21.296,166.78,-1.22,-0.275,9.77
21.321,166.78,-0.62,0.215,9.729
21.469,166.88,0.292,-1.228,6.243
21.489,166.97,0.127,-1.244,6.834
21.513,167.01,0.787,-0.562,6.977
21.533,167.0,1.287,-0.639,7.028
21.557,167.0,1.242,-0.672,7.947
21.577,167.01,1.127,-0.967,9.277
21.601,166.9,0.792,-1.28,11.457
21.621,166.96,0.459,-1.409,11.974
21.645,166.96,0.246,-1.247,12.165
21.665,167.0,0.644,-1.192,11.789
21.812,166.91,-2.199,-1.591,14.453
21.832,166.9,-2.058,-1.467,11.878
21.856,166.8,-0.823,-1.082,9.272
21.876,166.76,-0.206,-0.73,7.913
21.9,166.76,0.167,-0.627,7.564
21.92,166.81,-0.239,-0.814,8.48
21.944,166.81,-0.73,-0.792,9.176
21.964,166.94,-0.766,-0.78,9.349
21.988,166.94,-0.804,-0.938,8.839
22.008,166.94,-0.816,-1.084,7.769
22.161,167.0,0.572,-0.244,9.107
22.181,167.03,0.766,-0.371,9.354
22.205,166.98,0.378,-0.763,10.045
22.225,166.91,-0.261,-1.144,11.036
22.249,166.91,-0.689,-0.653,12.751
22.269,166.88,-0.993,-0.261,13.677
22.293,166.85,-1.012,0.292,13.697
22.313,166.93,-0.385,0.715,12.065
22.337,166.91,0.435,1.51,11.354
22.362,166.91,0.182,1.651,12.067
22.509,166.88,-0.294,1.225,8.952
22.529,166.8,-0.239,0.921,8.53
22.549,166.83,-0.4,0.514,7.913
22.573,166.77,-0.074,0.227,6.482
22.598,166.77,0.244,-0.036,5.941
22.618,166.78,0.316,-0.335,5.987
22.642,166.82,0.333,-0.555,6.487
22.662,166.86,0.416,-0.529,6.944
22.686,166.87,0.751,-0.763,7.537
22.711,166.87,0.447,-1.228,9.38
22.859,166.86,0.122,-1.189,12.589
22.879,166.86,0.68,-1.074,11.667
22.903,166.82,-0.038,-0.948,13.079
22.923,166.81,-1.232,-1.263,14.489
22.947,166.73,-2.12,-1.854,14.209
22.972,166.73,-1.826,-1.701,11.148
22.992,166.78,-0.957,-1.323,9.349
23.016,166.74,-0.534,-0.828,8.538
23.036,166.8,-0.232,-0.491,8.183
23.06,166.85,-0.218,-0.581,8.626
23.213,166.85,0.428,-0.641,6.451
23.233,166.84,0.629,-0.636,6.7
23.253,166.78,0.677,-0.371,7.547
23.277,166.77,1.003,-0.041,8.925
23.302,166.77,0.828,-0.077,9.71
23.322,166.76,0.476,-0.538,10.119
23.346,166.76,0.273,-0.653,11.177
23.366,166.74,-0.012,-0.347,12.268
23.39,166.76,-0.34,0.184,13.541
23.415,166.76,-0.337,0.421,13.735
23.562,166.83,-1.888,-0.232,10.165
