device_timestamp,altitude,acceleration,ax_ms2,ay_ms2,az_ms2,altitude_filtered,acceleration_filtered,velocity_filtered
505.55,-64.42,10.010119379907515,-0.079,-0.443,10.0,0.43600000000000194,0.00354971868548553,-0.03570723652094914
505.57,-64.49,10.03466411993944,-0.098,-0.452,10.024,0.43400000000000205,0.002960959997363446,-0.029385667893492475
505.60,-64.5,10.01845601876856,-0.098,-0.424,10.009,0.4360000000000025,0.003467385938690555,-0.016585667893481135
505.62,-64.5,10.007762736995717,-0.091,-0.455,9.997,0.4360000000000025,0.004399746140031269,-0.006692334560145476
505.64,-64.51,10.01881739528174,-0.086,-0.435,10.009,0.43520000000000264,0.005014791828548368,0.0059476654398336135
505.66,-64.44,10.026138838057252,-0.098,-0.44,10.016,0.433600000000003,0.005489474106887399,0.018480998773173374
505.68,-64.4,10.019651640650986,-0.067,-0.457,10.009,0.43320000000000336,0.00533411043574155,0.02060879098096735
505.71,-64.38,10.022107263445148,-0.079,-0.443,10.012,0.43120000000000347,0.005372949972742021,0.01980879098096738
505.86,-64.38,10.024860597534511,-0.103,-0.455,10.014,0.42840000000000317,0.004856957573240806,0.01727545764763124
505.88,-64.32,9.99580562035897,-0.084,-0.457,9.985,0.42800000000000293,0.005033777938986575,0.013942124314304092
505.91,-64.32,10.013109207434024,-0.084,-0.464,10.002,0.42960000000000265,0.004916984636471682,0.01055545764763803
505.93,-64.37,10.013884860532398,-0.093,-0.435,10.004,0.4320000000000027,0.004408233982633547,0.006178544895956357
505.95,-64.37,10.016949336000456,-0.1,-0.435,10.007,0.43240000000000295,0.005668804702687282,0.010978544895962082
505.97,-64.33,9.987737181163709,-0.093,-0.431,9.978,0.4356000000000029,0.006056945611449578,0.013538544895959017
505.99,-64.32,10.01415098747767,-0.098,-0.44,10.004,0.44000000000000283,0.00554124281309484,0.014338544895958991
506.01,-64.36,10.021755734401035,-0.06,-0.438,10.012,0.4444000000000028,0.00539066837273694,0.007805211562628693
506.04,-64.36,10.021903461917802,-0.081,-0.438,10.012,0.4488000000000028,0.005589734309027392,0.007392308336822252
506.06,-64.33,10.017514362355563,-0.079,-0.452,10.007,0.4524000000000029,0.005396209657275719,0.006592308336821168
506.21,-64.3,10.00245594841587,-0.081,-0.45,9.992,0.45320000000000277,0.004747269507276783,0.005152308336822985
